frame,track_id,x1,y1,x2,y2,xc,yc,w,h,conf
Vid1_0001.png,1,1111,1260,1410,1412,1260.78,1336.58,298.94,152.45,0.9242
Vid1_0001.png,2,1558,1416,1881,1502,1719.67,1459.74,323.24,85.69,0.8477
Vid1_0001.png,3,1070,1403,1343,1484,1207.02,1443.83,273.51,80.96,0.8476
Vid1_0002.png,1,1108,1259,1407,1413,1257.95,1336.78,298.81,154.15,0.9252
Vid1_0002.png,2,1557,1414,1882,1503,1719.8,1459.12,325.53,88.93,0.8527
Vid1_0002.png,3,1065,1403,1339,1484,1202.24,1444.16,273.86,80.42,0.8515
Vid1_0003.png,1,1101,1259,1402,1414,1252.16,1337.14,300.57,155.17,0.9189
Vid1_0003.png,2,1556,1413,1884,1505,1720.66,1459.7,328.01,91.87,0.8622
Vid1_0003.png,3,1037,1410,1310,1489,1174.06,1450.04,272.6,78.61,0.8386
Vid1_0004.png,1,1097,1262,1385,1407,1241.1,1335.41,287.85,144.94,0.9219
Vid1_0004.png,2,1589,1408,1874,1498,1731.85,1453.76,285.28,90.25,0.887
Vid1_0004.png,3,996,1416,1240,1496,1118.59,1456.72,243.43,80.26,0.8494
Vid1_0005.png,1,1101,1269,1364,1411,1232.88,1340.62,262.69,142.24,0.9067
Vid1_0005.png,2,1598,1398,1870,1492,1734.4,1445.35,272.14,94.67,0.8881
Vid1_0005.png,3,948,1420,1197,1498,1073.05,1459.55,249.72,77.84,0.8461
Vid1_0006.png,1,1103,1271,1358,1413,1230.69,1342.24,255.0,141.53,0.9067
Vid1_0006.png,2,1600,1394,1869,1490,1734.99,1442.61,268.92,96.12,0.8881
Vid1_0006.png,3,934,1421,1186,1498,1060.3,1460.24,251.61,77.01,0.8461
Vid1_0007.png,1,1104,1273,1353,1414,1228.95,1344.08,248.49,141.65,0.9086
Vid1_0007.png,2,1600,1393,1868,1490,1734.33,1441.64,268.12,96.83,0.8853
Vid1_0007.png,3,925,1423,1176,1498,1050.99,1460.7,250.4,74.67,0.8338
Vid1_0008.png,1,1086,1279,1331,1408,1209.07,1343.74,244.71,129.3,0.9039
Vid1_0008.png,2,1653,1391,1848,1489,1750.69,1440.97,194.68,98.0,0.8019
Vid1_0008.png,3,877,1427,1128,1500,1002.89,1464.34,251.42,72.84,0.8484
Vid1_0009.png,1,1061,1283,1324,1393,1192.97,1338.29,262.57,109.44,0.8928
Vid1_0009.png,2,1683,1392,1848,1488,1765.64,1440.32,164.73,95.97,0.8386
Vid1_0009.png,3,840,1422,1085,1500,963.11,1461.25,245.55,78.16,0.8427
Vid1_0010.png,1,1040,1285,1303,1388,1172.38,1337.04,263.18,102.23,0.8765
Vid1_0010.png,2,1669,1387,1852,1488,1760.79,1438.34,182.71,100.9,0.834
Vid1_0010.png,3,802,1421,1042,1498,922.44,1459.81,240.8,77.57,0.8326
Vid1_0011.png,1,1024,1287,1290,1398,1157.55,1342.73,266.34,110.58,0.9003
Vid1_0011.png,2,1652,1384,1857,1485,1755.2,1435.19,205.02,101.16,0.8533
Vid1_0011.png,3,771,1418,1015,1496,893.37,1457.31,243.83,78.23,0.841
Vid1_0012.png,1,1018,1287,1286,1401,1152.49,1344.51,267.6,113.16,0.9003
Vid1_0012.png,2,1646,1383,1859,1484,1753.12,1434.07,213.22,101.18,0.8533
Vid1_0012.png,3,761,1417,1006,1495,883.96,1456.35,245.01,78.48,0.841
Vid1_0013.png,1,1015,1288,1286,1402,1150.74,1345.45,270.6,114.5,0.9009
Vid1_0013.png,2,1640,1383,1861,1482,1751.38,1433.03,221.02,99.67,0.8518
