frame,track_id,x1,y1,x2,y2,xc,yc,w,h,conf
mit_ipswich_545246_slow_frame_000010,1,284,172,318,205,301.3,189.16,33.78,33.44,0.3677
mit_ipswich_545246_slow_frame_000011,2,280,173,318,206,299.64,190.03,37.44,32.89,0.7369
mit_ipswich_545246_slow_frame_000012,2,275,173,318,205,297.24,189.42,42.86,32.13,0.5745
mit_ipswich_545246_slow_frame_000013,2,269,173,318,204,293.87,189.02,48.9,31.54,0.4553
mit_ipswich_545246_slow_frame_000014,2,260,172,318,204,289.59,188.75,57.33,32.49,0.4586
mit_ipswich_545246_slow_frame_000025,2,210,168,317,208,264.13,188.62,107.06,39.78,0.574
mit_ipswich_545246_slow_frame_000026,2,203,169,317,209,260.72,189.16,114.11,40.27,0.5359
mit_ipswich_545246_slow_frame_000028,2,190,170,313,208,252.25,189.47,123.3,37.43,0.6426
mit_ipswich_545246_slow_frame_000029,2,183,171,315,209,249.52,190.27,131.17,38.43,0.8097
mit_ipswich_545246_slow_frame_000030,2,174,169,315,206,245.08,188.02,141.25,37.17,0.8643
mit_ipswich_545246_slow_frame_000031,2,165,166,315,204,240.4,185.85,149.58,38.18,0.8318
mit_ipswich_545246_slow_frame_000032,2,158,163,306,203,232.32,183.33,148.29,40.2,0.7957
mit_ipswich_545246_slow_frame_000033,2,149,161,302,200,225.93,181.29,152.19,39.23,0.4579
mit_ipswich_545246_slow_frame_000034,2,139,160,297,200,218.61,180.49,157.34,40.23,0.4714
mit_ipswich_545246_slow_frame_000035,2,134,159,288,201,211.39,180.5,153.82,42.88,0.765
mit_ipswich_545246_slow_frame_000036,2,129,157,281,202,205.41,179.98,152.76,44.52,0.5621
mit_ipswich_545246_slow_frame_000037,2,125,157,275,203,200.84,180.53,149.85,45.17,0.7892
mit_ipswich_545246_slow_frame_000038,2,120,157,270,202,195.36,180.26,150.12,45.16,0.4137
mit_ipswich_545246_slow_frame_000039,2,113,159,267,202,190.49,181.33,153.47,42.72,0.5002
mit_ipswich_545246_slow_frame_000040,2,107,162,252,203,179.96,183.09,145.5,41.25,0.586
mit_ipswich_545246_slow_frame_000041,2,99,161,249,202,174.36,181.87,149.57,40.74,0.3416
mit_ipswich_545246_slow_frame_000042,2,92,161,236,201,164.65,181.72,143.75,39.65,0.4588
mit_ipswich_545246_slow_frame_000043,2,86,162,227,203,157.07,182.83,141.23,40.45,0.7123
mit_ipswich_545246_slow_frame_000044,2,80,161,226,204,153.45,183.08,145.3,43.4,0.6741
mit_ipswich_545246_slow_frame_000045,2,69,159,224,206,147.29,183.0,154.76,47.27,0.7806
mit_ipswich_545246_slow_frame_000046,2,62,158,218,207,140.51,183.07,155.66,49.07,0.8152
mit_ipswich_545246_slow_frame_000047,2,55,158,209,207,132.67,182.88,153.35,49.67,0.811
mit_ipswich_545246_slow_frame_000048,2,49,160,198,210,124.04,185.36,149.22,49.47,0.8195
mit_ipswich_545246_slow_frame_000049,2,41,160,194,212,117.98,186.83,153.94,51.86,0.802
mit_ipswich_545246_slow_frame_000050,2,32,157,187,213,110.0,185.7,155.81,55.94,0.8593
mit_ipswich_545246_slow_frame_000051,2,20,157,180,214,100.53,186.19,159.43,56.82,0.8409
mit_ipswich_545246_slow_frame_000052,2,12,159,170,215,91.67,187.51,158.37,55.15,0.8237
mit_ipswich_545246_slow_frame_000053,2,6,163,155,216,81.05,189.86,149.6,52.78,0.8313
mit_ipswich_545246_slow_frame_000054,2,1,165,139,217,70.4,191.19,138.6,52.17,0.8709
mit_ipswich_545246_slow_frame_000055,2,0,167,128,218,64.09,193.15,128.17,50.83,0.8682
mit_ipswich_545246_slow_frame_000056,2,0,168,122,219,61.31,194.31,122.61,51.22,0.8745
mit_ipswich_545246_slow_frame_000057,2,0,169,118,221,59.02,195.49,118.04,51.96,0.8789
mit_ipswich_545246_slow_frame_000058,2,0,172,111,222,55.88,197.32,111.76,50.1,0.8668
mit_ipswich_545246_slow_frame_000059,2,0,176,101,221,50.55,199.27,100.92,45.26,0.8349
mit_ipswich_545246_slow_frame_000060,2,0,177,91,223,46.17,200.63,91.29,45.57,0.8654
mit_ipswich_545246_slow_frame_000061,2,0,179,80,223,40.63,201.53,79.98,44.34,0.786
mit_ipswich_545246_slow_frame_000062,2,1,181,71,222,36.29,202.41,70.22,40.94,0.8353
mit_ipswich_545246_slow_frame_000063,2,1,182,62,223,31.71,203.31,61.05,40.64,0.7994
mit_ipswich_545246_slow_frame_000064,2,1,180,57,220,29.69,200.21,56.34,39.76,0.7956
mit_ipswich_545246_slow_frame_000073,3,307,151,319,176,313.25,164.01,12.24,24.26,0.4462
mit_ipswich_545246_slow_frame_000075,4,304,151,319,180,312.47,166.39,15.02,29.03,0.3904
mit_ipswich_545246_slow_frame_000076,5,304,152,319,181,312.43,166.72,15.04,28.57,0.2864
mit_ipswich_545246_slow_frame_000077,6,304,151,319,178,312.13,165.12,15.74,27.41,0.5118
mit_ipswich_545246_slow_frame_000078,7,302,150,319,177,311.16,164.22,17.59,26.62,0.5995
mit_ipswich_545246_slow_frame_000079,7,302,150,319,177,311.02,163.95,17.85,26.19,0.6187
mit_ipswich_545246_slow_frame_000080,7,298,151,319,177,309.42,164.61,21.06,25.91,0.7006
mit_ipswich_545246_slow_frame_000081,7,296,151,319,177,308.41,164.76,22.95,25.98,0.6814
mit_ipswich_545246_slow_frame_000082,7,294,151,319,177,307.26,164.45,25.33,25.57,0.6448
mit_ipswich_545246_slow_frame_000083,7,291,153,319,177,305.6,165.71,28.05,23.65,0.6815
mit_ipswich_545246_slow_frame_000084,7,289,154,319,177,304.37,166.04,30.32,23.17,0.6212
mit_ipswich_545246_slow_frame_000085,7,284,155,319,177,302.07,166.36,34.34,22.3,0.7005
mit_ipswich_545246_slow_frame_000086,7,279,155,319,177,299.46,166.66,39.31,22.3,0.485
mit_ipswich_545246_slow_frame_000087,7,278,155,319,179,298.86,167.71,40.5,23.61,0.5292
mit_ipswich_545246_slow_frame_000088,7,277,156,319,179,298.32,168.03,41.55,23.63,0.5235
mit_ipswich_545246_slow_frame_000089,7,272,156,319,180,295.61,168.72,47.1,24.13,0.4692
mit_ipswich_545246_slow_frame_000091,7,263,157,319,180,291.39,168.86,55.31,22.93,0.4702
mit_ipswich_545246_slow_frame_000092,7,261,156,318,179,290.27,168.24,56.85,22.72,0.5558
mit_ipswich_545246_slow_frame_000093,7,253,156,317,179,285.92,168.32,64.12,23.3,0.3038
