frame,track_id,x1,y1,x2,y2,xc,yc,w,h,conf
Vid2_0001.png,1,1080,925,1392,1054,1236.39,990.07,311.29,128.82,0.897
Vid2_0001.png,2,1188,1026,1519,1126,1353.63,1076.82,331.24,99.92,0.879
Vid2_0001.png,3,671,974,890,1100,780.73,1037.59,219.4,126.53,0.8592
Vid2_0002.png,1,1090,925,1397,1046,1243.96,986.29,307.57,120.66,0.891
Vid2_0002.png,2,1182,1028,1513,1128,1348.03,1078.17,331.37,100.27,0.8727
Vid2_0002.png,3,671,977,879,1101,775.54,1039.28,207.15,123.65,0.8616
Vid2_0003.png,1,1108,919,1429,1030,1269.12,975.09,320.36,110.19,0.8779
Vid2_0003.png,2,1155,1034,1489,1135,1322.59,1084.96,334.03,100.5,0.8726
Vid2_0003.png,3,674,985,850,1107,762.96,1046.44,175.98,121.28,0.8835
Vid2_0004.png,1,1121,918,1444,1023,1283.01,970.79,323.79,105.24,0.8807
Vid2_0004.png,2,1141,1037,1477,1140,1309.69,1088.95,335.6,103.38,0.8745
Vid2_0004.png,3,676,990,837,1110,757.27,1050.6,161.45,119.54,0.8783
Vid2_0005.png,1,1147,910,1473,1016,1310.19,963.54,325.68,105.9,0.8647
Vid2_0005.png,2,1116,1043,1451,1151,1284.4,1097.55,334.9,108.4,0.8759
Vid2_0005.png,3,664,992,818,1119,741.34,1056.09,153.88,126.74,0.8616
